"","PMID","Title","Abstract"
"1","28213183","A role for the serotonin reuptake transporter in the brain and intestinal features of autism spectrum disorders and developmental antidepressant exposure.","Many disease conditions considered CNS-predominant harbor significant intestinal comorbidities. Serotonin (5-HT) and the serotonin reuptake transporter (SERT) have increasingly been shown to play important roles in both brain and intestinal development and long-term function. 5-HT and SERT may thus modulate critical functions in the development and perpetuation of brain-gut axis disease. We discuss the potential roles of 5-HT and SERT in the brain and intestinal manifestations of autism spectrum disorders and developmental antidepressant exposure. The potential therapeutic value of 5-HT4 modulation in the subsequent treatment of these conditions is also addressed."
"2","27591973","Perinatal exposure to the selective serotonin reuptake inhibitor citalopram alters spatial learning and memory, anxiety, depression, and startle in Sprague-Dawley rats.","Selective serotonin reuptake inhibitors (SSRIs) block the serotonin (5-HT) reuptake transporter (SERT) and increase synaptic 5-HT. 5-HT is also important in brain development; hence when SSRIs are taken during pregnancy there exists the potential for these drugs to affect CNS ontogeny. Prenatal SSRI exposure has been associated with an increased prevalence of autism spectrum disorder (ASD)  and peripheral 5-HT is elevated in some ASD patients. Perinatal SSRI exposure in rodents has been associated with increased depression and anxiety-like behavior  decreased sociability  and impaired learning in the offspring  behaviors often seen in ASD. The present study investigated whether perinatal exposure to citalopram causes persistent neurobehavioral effects. Gravid Sprague-Dawley rats were assigned to two groups and subcutaneously injected twice per day with citalopram (10mg/kg; Cit) or saline (Sal) 6h apart on embryonic day (E)6-21  and then drug was given directly to the pups after delivery from postnatal day (P)1-20. Starting on P60  one male/female from each litter was tested in the Cincinnati water maze (CWM) and open-field before and after MK-801. A second pair from each litter was tested in the Morris water maze (MWM) and open-field before and after (+)-amphetamine. A third pair was tested as follows: elevated zero-maze  open-field  marble burying  prepulse inhibition of acoustic startle  social preference  and forced swim. Cit-exposed rats were impaired in the MWM during acquisition and probe  but not during reversal  shift  or cued trials. Cit-exposed rats also showed increased marble burying  decreased time in the center of the open-field  decreased latency to immobility in forced swim  and increased acoustic startle across prepulse intensities with no effects on CWM. The results are consistent with citalopram inducing several ASD-like effects. The findings add to concerns about use of SSRIs during pregnancy. Further research on different classes of antidepressants  dose-effect relationships  timing of exposure periods  and mechanisms for these effects are needed. It is also important to balance the effects described here against the effects of the disorders for which the drugs are given."
"3","26221830","Affective communication in rodents: serotonin and its modulating role in ultrasonic vocalizations.","Serotonin (5-hydroxytryptamine  5-HT) is an important modulatory neurotransmitter and functions as a key neurodevelopmental signal in the mammalian brain. 5-HT plays a prominent role in regulating various types of psychological processes and functions  including mood and emotion  particularly anxiety  but also in regulating social behavior. Consequently  the 5-HT system is implicated in various neuropsychiatric disorders  such as anxiety disorders and depression or autism spectrum disorders (ASD)  with selective 5-HT reuptake inhibitors being the frontline medication. Mice and rats perceive and emit ultrasonic vocalizations (USV). It is widely believed that the various distinct USV types reflect the animal's affective state  such as anxiety or pleasure. Furthermore  they serve communicative functions  for instance  as alarm calls or social contact calls. Manipulations targeting the 5-HT system alter affective ultrasonic communication in rodents throughout life  probably because of its important role in regulating anxiety and social behavior. Ample evidence indicates the involvement of the 5-HT system in modulating isolation-induced USV in pups. Later in life  the 5-HT system plays a strong modulatory role in the emission of aversive 22-kHz USV in rats. So far  little is known about the role of 5-HT in the production of interaction-induced USV in mice and appetitive 50-kHz USV in rats  although recent findings also suggest a modulatory effect of the 5-HT system. Assessment of rodent USV is a valuable method to investigate mood and emotion  and to enhance our understanding of  and develop novel pharmacological therapies for neuropsychiatric disorders  such as anxiety disorders and depression or ASD."
"4","26143664","Effects of donepezil and serotonin reuptake inhibitor on acute regression during adolescence in Down syndrome.","A 14-year-old boy with Down syndrome (DS) showed a gradual decline in his daily activities and feeding capacities  and a marked deterioration triggered by a streptococcal infection was observed at the age of 15 years. He became bedridden  accompanied by sleep disturbance  sustained upward gaze  and generalized rigidity. Magnetic resonance imaging showed unremarkable findings  but antiglutamate receptor autoantibodies were positive in his cerebrospinal fluid. Treatment with thiamine infusion and steroid pulse therapy showed little effect  but gross motor dysfunction and appetite loss were ameliorated by the administration of l-DOPA and serotonin reuptake inhibitors. Thereafter  autistic behaviors predominated  including loss of social interaction  oral tendency  water phobia  and aggressiveness. Initiation of donepezil  an acetylcholinesterase inhibitor  resulted in the disappearance of these symptoms and total recovery of the patient to his previous psychosocial levels. We hypothesize that the acute regression in adolescence represents a process closely related to the defects of serotonergic and cholinergic systems that are innate to DS brains and not just a nonspecific comorbidity of depression or limbic encephalitis."
"5","26092620","A2BP1 gene polymorphisms association with olanzapine-induced weight gain.","The ataxin-2 binding protein 1 (A2BP1) gene is reported to be one of the susceptibility genes in schizophrenia  autism  and obesity. The aim of this study was to explore the association of A2BP1 gene polymorphisms with antipsychotic induced weight gain (AIWG) in Chinese Han population. Three hundred and twenty-eight patients with schizophrenia were followed-up for an 8-week period of treatment with olanzapine. The fasting weights of 328 patients were measured before and after the 8-week course of treatment. Four single nucleotide polymorphisms (SNPs: rs8048076  rs1478697  rs10500331  and rs4786847) of the A2BP1 gene were genotyped by polymerase chain reaction (PCR). We analyzed putative association of A2BP1 polymorphisms with AIWG of olanzapine using linear regression analysis and found that SNP rs1478697 was significantly associated with AIWG caused by olanzapine (p=0.0012; Bonferroni corrected p=0.0048). The association was replicated in another independent sample including 208 first-episode and drug-naïve patients presenting with schizophrenia after a 4-week treatment with olanzapine (p=0.0092; Bonferroni corrected p=0.0368; meta p=5.33×10(-5)). To explore the biological plausibility of A2BP1 in the pathogenesis of AIWG  we made expression analyses and eQTL analyses; these analyses showed that A2BP1 was highly expressed in whole brain tissues using the HBT database  and that rs1478697 has an expression quantitative trait locus effect in human cerebellar cortex tissues using the BRAINEAC database (p=2.50E-04). In conclusion  the rs1478697 in A2BP1 may be associated with AIWG induced by 8-week treatment with olanzapine."
"6","26092083","Prenatal Antidepressant Exposure and Childhood Autism Spectrum Disorders: Cause for Concern?","There is empirical evidence for a role for serotonin in autism . In experimental animals  early life exposure to serotonergic antidepressants or maternal stress affects brain development  with subsequent changes in serotonin tone in adult animals. Recently  antidepressant exposure during pregnancy has been associated with autism in epidemiological studies. At least part of the association is potentially explained by maternal depression or factors associated with depression. Importantly  even if there is no causal relation between prenatal antidepressant exposure and autism  use of antidepressants during pregnancy is a marker of potential problems later in life across five independent study populations  and exposed children may need special attention regardless of the underlying mechanism. Future studies need to disentangle the effects of maternal depression and antidepressant use during pregnancy while adjusting for the postnatal environment. One promising strategy is to use results from basic science to guide the inclusion of potential biological intermediates in advanced epidemiological studies."
"7","26022075","Putative Microcircuit-Level Substrates for Attention Are Disrupted in Mouse Models of Autism.","BACKGROUND: Deep layer excitatory circuits in the prefrontal cortex represent the strongest locus for genetic convergence in autism  but specific abnormalities within these circuits that mediate key features of autism  such as cognitive or attentional deficits  remain unknown. Attention normally increases the sensitivity of neural populations to incoming signals by decorrelating ongoing cortical circuit activity. Here  we investigated whether mechanisms underlying this phenomenon might be disrupted within deep layer prefrontal circuits in mouse models of autism.METHODS: We isolated deep layer prefrontal circuits in brain slices then used single-photon GCaMP imaging to record activity from many (50 to 100) neurons simultaneously to study patterns of spontaneous activity generated by these circuits under normal conditions and in two etiologically distinct models of autism: mice exposed to valproic acid in utero and Fmr1 knockout mice.RESULTS: We found that modest doses of the cholinergic agonist carbachol normally decorrelate spontaneous activity generated by deep layer prefrontal networks. This effect was disrupted in both valproic acid-exposed and Fmr1 knockout mice but intact following other manipulations that did not model autism.CONCLUSIONS: Our results suggest that cholinergic modulation may contribute to attention by acting on local cortical microcircuits to decorrelate spontaneous activity. Furthermore  defects in this mechanism represent a microcircuit-level endophenotype that could link diverse genetic and developmental disruptions to attentional deficits in autism. Future studies could elucidate pathways leading from various etiologies to this circuit-level abnormality or use this abnormality itself as a target and identify novel therapeutic strategies that restore normal circuit function."
"8","26021727","Serotonin mediated immunoregulation and neural functions: Complicity in the aetiology of autism spectrum disorders.","Serotonergic system has long been implicated in the aetiology of autism spectrum disorders (ASD)  since platelet hyperserotonemia is consistently observed in a subset of autistic patients  who respond well to selective serotonin reuptake inhibitors. Apart from being a neurotransmitter  serotonin functions as a neurotrophic factor directing brain development and as an immunoregulator modulating immune responses. Serotonin transporter (SERT) regulates serotonin level in lymphoid tissues to ensure its proper functioning in innate and adaptive responses. Immunological molecules such as cytokines in turn regulate the transcription and activity of SERT. Dysregulation of serotonergic system could trigger signalling cascades that affect normal neural-immune interactions culminating in neurodevelopmental and neural connectivity defects precipitating behavioural abnormalities  or the disease phenotypes. Therefore  we suggest that a better understanding of the cross talk between serotonergic genes  immune systems and serotonergic neurotransmission will open wider avenues to develop pharmacological leads for addressing the core ASD behavioural deficits."
"9","25721396","Essential role of GluD1 in dendritic spine development and GluN2B to GluN2A NMDAR subunit switch in the cortex and hippocampus reveals ability of GluN2B inhibition in correcting hyperconnectivity.","The glutamate delta-1 (GluD1) receptor is highly expressed in the forebrain. We have previously shown that loss of GluD1 leads to social and cognitive deficits in mice  however  its role in synaptic development and neurotransmission remains poorly understood. Here we report that GluD1 is enriched in the medial prefrontal cortex (mPFC) and GluD1 knockout mice exhibit a higher dendritic spine number  greater excitatory neurotransmission as well as higher number of synapses in mPFC. In addition abnormalities in the LIMK1-cofilin signaling  which regulates spine dynamics  and a lower ratio of GluN2A/GluN2B expression was observed in the mPFC in GluD1 knockout mice. Analysis of the GluD1 knockout CA1 hippocampus similarly indicated the presence of higher spine number and synapses and altered LIMK1-cofilin signaling. We found that systemic administration of an N-methyl-d-aspartate (NMDA) receptor partial agonist d-cycloserine (DCS) at a high-dose  but not at a low-dose  and a GluN2B-selective inhibitor Ro-25-6981 partially normalized the abnormalities in LIMK1-cofilin signaling and reduced excess spine number in mPFC and hippocampus. The molecular effects of high-dose DCS and GluN2B inhibitor correlated with their ability to reduce the higher stereotyped behavior and depression-like behavior in GluD1 knockout mice. Together these findings demonstrate a critical requirement for GluD1 in normal spine development in the cortex and hippocampus. Moreover  these results identify inhibition of GluN2B-containing receptors as a mechanism for reducing excess dendritic spines and stereotyped behavior which may have therapeutic value in certain neurodevelopmental disorders such as autism."
"10","25715275","Mental health: thinking from the gut.",""
