"","PMID","Title","Abstract"
"1","28213183","A role for the serotonin reuptake transporter in the brain and intestinal features of autism spectrum disorders and developmental antidepressant exposure.","Many disease conditions considered CNS-predominant harbor significant intestinal comorbidities. Serotonin (5-HT) and the serotonin reuptake transporter (SERT) have increasingly been shown to play important roles in both brain and intestinal development and long-term function. 5-HT and SERT may thus modulate critical functions in the development and perpetuation of brain-gut axis disease. We discuss the potential roles of 5-HT and SERT in the brain and intestinal manifestations of autism spectrum disorders and developmental antidepressant exposure. The potential therapeutic value of 5-HT4 modulation in the subsequent treatment of these conditions is also addressed."
"2","28129495","The Association Between Antenatal Exposure to Selective Serotonin Reuptake Inhibitors and Autism: A Systematic Review and Meta-Analysis.","OBJECTIVE: This systematic review and meta-analysis examines the relationship between antenatal selective serotonin reuptake inhibitor (SSRI) exposure and child autism  with specific attention to maternal mental illness (MMI) as a potential confounding factor.DATA SOURCES: We searched MEDLINE  Embase  PsycINFO  and CINAHL from database inception to January 28  2016.STUDY SELECTION: Keywords included terms for SSRIs  pregnancy  and autism. We included published  peer-reviewed articles written in English.DATA EXTRACTION: Two reviewers used standardized instruments for data extraction and quality assessment. We generated pooled estimates for studies of the same design for SSRI exposure at any time during pregnancy and exposure during the first trimester. Subanalyses were conducted among studies with analyses (1) adjusted for MMI and (2) restricted to MMI.RESULTS: We included in the meta-analysis 4 case-control studies and 2 cohort studies. In the case-control studies  the adjusted pooled odds ratio (aPOR) values were 1.4 (95% CI  1.0-2.0) (any) and 1.7 (95% CI  1.1-2.6) (first trimester). In MMI-adjusted analyses  only first trimester exposure remained statistically significant (aPOR = 1.8; 95% CI  1.1-3.1). In MMI-restricted analyses  neither exposure period was statistically significant. In the cohort studies  MMI-adjusted relative risk values were 1.5 (95% CI  0.9-2.7) (any) and 1.4 (95% CI  1.0-1.9) (first trimester). In MMI-restricted analyses  SSRI exposure at any time during pregnancy was nonsignificant.CONCLUSIONS: It remains unclear whether the association between first trimester SSRI exposure and child autism that was present in the case-control studies even after adjustment for MMI is a true association or a product of residual confounding. Future studies require robust measurement of MMI prior to and during pregnancy."
"3","27915014","Autism spectrum disorder and prenatal exposure to selective serotonin reuptake inhibitors: Need for further analysis.",""
"4","27667009","Prenatal selective serotonin reuptake inhibitor use and the risk of autism spectrum disorder in children: A systematic review and meta-analysis.","OBJECTIVE: To determine whether an up-to-date systematic review and meta-analysis of observational studies would support the previously suggested associations regarding prenatal selective serotonin reuptake inhibitor (SSRI) use and the risk for autism spectrum disorders (ASD) in children.METHODS: PubMed/MEDLINE  Cochrane Central Register of Controlled Trials and Reprotox databases were searched; observational studies with an exposed and unexposed group were included.RESULTS: The meta-analysis of case-control studies demonstrated a significantly increased risk of ASD in the children whose mothers were prenatally exposed to SSRIs during different exposure time windows (except third trimester). The qualitative review of the cohort studies suggested inconsistent findings.CONCLUSIONS: The significant association between preconception-only SSRI exposure and ASD in the children and negative/inconsistent findings among cohort studies weaken the significant associations detected in this meta-analysis. We suggest that confounding by indication still cannot be ruled out regarding prenatal SSRI exposure and ASD in children."
"5","27592097","Autism Spectrum Disorders and Metabolic Complications of Obesity.","OBJECTIVES: To assess for an increased risk of obesity  type 2 diabetes mellitus  hypertension  hyperlipidemia  and nonalcoholic fatty liver disease/nonalcoholic steatohepatitis in children with autism spectrum disorders (ASD). Additionally  to determine the rates of prescribed treatment for obesity-related metabolic disorders and to determine whether treatment with psychotropic medications is associated with the development of obesity for children with ASD.STUDY DESIGN: A retrospective 1:5 case-control study was performed by use of the Military Health System database from October 2000 to September 2013. For children with ASD and matched controls  International Classification of Diseases  Ninth Revision  Clinical Modification diagnostic codes for obesity  type 2 diabetes mellitus  hypertension  hyperlipidemia  nonalcoholic fatty liver disease/nonalcoholic steatohepatitis  and prescriptions were obtained. Conditional logistic regression determined ORs and 95% CIs.RESULTS: A total of 48<U+2009>762 individuals with ASD and 243<U+2009>810 matched controls were identified. Children with ASD had significantly greater odds of having obesity (OR 1.85; 95% CI 1.78-1.92)  having obesity-related disorders  and being prescribed a medication when they had these diseases. In children with ASD  mood stabilizers  antipsychotics  antiepileptic drugs  and selective serotonin reuptake inhibitors were associated with obesity.CONCLUSIONS: Children with ASD have an increased risk of obesity and obesity-related metabolic disorders. They are more likely to be prescribed medications to treat these complications  suggesting they may have more severe disease. There is a significant association between the use of some psychotropic categories and a diagnosis of obesity  suggesting that obesity in children with ASD may be partially iatrogenic."
"6","27591973","Perinatal exposure to the selective serotonin reuptake inhibitor citalopram alters spatial learning and memory, anxiety, depression, and startle in Sprague-Dawley rats.","Selective serotonin reuptake inhibitors (SSRIs) block the serotonin (5-HT) reuptake transporter (SERT) and increase synaptic 5-HT. 5-HT is also important in brain development; hence when SSRIs are taken during pregnancy there exists the potential for these drugs to affect CNS ontogeny. Prenatal SSRI exposure has been associated with an increased prevalence of autism spectrum disorder (ASD)  and peripheral 5-HT is elevated in some ASD patients. Perinatal SSRI exposure in rodents has been associated with increased depression and anxiety-like behavior  decreased sociability  and impaired learning in the offspring  behaviors often seen in ASD. The present study investigated whether perinatal exposure to citalopram causes persistent neurobehavioral effects. Gravid Sprague-Dawley rats were assigned to two groups and subcutaneously injected twice per day with citalopram (10mg/kg; Cit) or saline (Sal) 6h apart on embryonic day (E)6-21  and then drug was given directly to the pups after delivery from postnatal day (P)1-20. Starting on P60  one male/female from each litter was tested in the Cincinnati water maze (CWM) and open-field before and after MK-801. A second pair from each litter was tested in the Morris water maze (MWM) and open-field before and after (+)-amphetamine. A third pair was tested as follows: elevated zero-maze  open-field  marble burying  prepulse inhibition of acoustic startle  social preference  and forced swim. Cit-exposed rats were impaired in the MWM during acquisition and probe  but not during reversal  shift  or cued trials. Cit-exposed rats also showed increased marble burying  decreased time in the center of the open-field  decreased latency to immobility in forced swim  and increased acoustic startle across prepulse intensities with no effects on CWM. The results are consistent with citalopram inducing several ASD-like effects. The findings add to concerns about use of SSRIs during pregnancy. Further research on different classes of antidepressants  dose-effect relationships  timing of exposure periods  and mechanisms for these effects are needed. It is also important to balance the effects described here against the effects of the disorders for which the drugs are given."
"7","27589900","Selective serotonin reuptake inhibitors and autism: additional data on the Quebec Pregnancy/Birth Cohort.",""
"8","27474253","Autism spectrum disorder and prenatal exposure to selective serotonin reuptake inhibitors: A systematic review and meta-analysis.","To obtain the risk estimates of autism spectrum disorder (ASD) in the offspring exposed to serotonin reuptake inhibitors (SSRI) in utero  we performed systematic review and meta-analysis of relevant studies. Five case-control and three cohort studies were eligible for the analysis. The SSRI group had significantly higher risk of ASD than the SSRI non-exposed group (pooled OR 1.45  95% CI 1.15-1.82). In the subgroup analyses  however  the risk of ASD was similar between the SSRI group and other antidepressants group (pooled OR 1.14  95% CI 0.67-1.96). Furthermore  when the analysis was confined to those born to the women with psychiatric disorders  the SSRI group did not show an increased ASD risk (pooled OR 0.96  95% CI 0.57-1.63) compared to non-exposed groups. In conclusion  SSRI use in pregnancy is associated with an increased risk of ASD in the offspring  but maternal psychiatric condition is a major confounding factor."
"9","27454061","What Are the Facts About Autism Spectrum Disorders, Selective Serotonin Reuptake Inhibitors, and Assisted Reproductive Technology?",""
"10","27447670","No Association between Mycotoxin Exposure and Autism: A Pilot Case-Control Study in School-Aged Children.","Evaluation of environmental risk factors in the development of autism spectrum disorder (ASD) is needed for a more complete understanding of disease etiology and best approaches for prevention  diagnosis  and treatment. A pilot experiment in 54 children (n = 25 ASD  n = 29 controls; aged 12.4 ± 3.9 years) screened for 87 urinary mycotoxins via liquid chromatography-tandem mass spectrometry to assess current exposure. Zearalenone  zearalenone-4-glucoside  3-acetyldeoxynivalenol  and altenuene were detected in 9/54 (20%) samples  most near the limit of detection. No mycotoxin/group of mycotoxins was associated with ASD-diagnosed children. To identify potential correlates of mycotoxin presence in urine  we further compared the nine subjects where a urinary mycotoxin was confirmed to the remaining 45 participants and found no difference based on the presence or absence of mycotoxin for age (t-test; p = 0.322)  gender (Fisher's exact test; p = 0.456)  exposure or not to selective serotonin reuptake inhibitors (Fisher's exact test; p = 0.367)  or to other medications (Fisher's exact test; p = 1.00). While no positive association was found  more sophisticated sample preparation techniques and instrumentation  coupled with selectivity for a smaller group of mycotoxins  could improve sensitivity and detection. Further  broadening sampling to in utero (mothers) and newborn-toddler years would cover additional exposure windows."
