"","PMID","Title","Abstract"
"1","28255523","Inhibition of soluble epoxide hydrolase as a novel approach to high dose diazepam induced hypotension.","CONTEXT: Hypotension is one of the dose limiting side effects of benzodiazepines (BZDs)  in particular of diazepam (DZP) which is still widely used in the clinic. Currently  only one FDA approved antidote exists for BZD overdose and novel approaches are needed to improve management of DZP overdose  dependency and withdrawal.OBJECTIVE: Here  we hypothesized that increasing bioactive lipid mediators termed epoxy fatty acids (EpFAs) will prevent hypotension  as was shown previously in a murine model of LPS-induced hypotension. Therefore  we first characterized the time and dose dependent profile of DZP induced hypotension in mice  and then investigated the reversal of the hypotensive effect by inhibiting the soluble epoxide hydrolase (sEH)  an enzyme that regulates the levels of EpFAs.MATERIALS AND METHODS: Following baseline systolic BP recording using tail cuffs  mice were administered a sEH inhibitor (TPPU) before DZP and BP was monitored. Blood and brain levels of DZP and TPPU were quantified to examine distribution and metabolism. Plasma EpFAs levels were quantified to determine TPPU target engagement.RESULTS: In this murine model  DZP induced dose dependent hypotension which was more severe than midazolam. The temporal profile was consistent with the reported pharmacokinetics/pharmacodynamics of DZP. Treatment with TPPU reversed the hypotension resulting from high doses of DZP and decreased the sEH metabolites of EpFAs in the plasma demonstrating target engagement.DISCUSSION AND CONCLUSION: Overall  these findings demonstrate the similarity of a murine model of DZP induced hypotension to clinical observations in humans. Furthermore  we demonstrate that stabilization of EpFAs by inhibiting sEH is a novel approach to overcome DZP-induced hypotension and this beneficial effect can be enhanced by an omega three diet probably acting through epoxide metabolites of the fatty acids."
"2","28104366","Effects of acute and chronic quercetin administration on methylphenidate-induced hyperlocomotion and oxidative stress.","AIMS: Increases in protein kinase C (PKC) and oxidative stress have been related to mania. Drugs with antioxidant effects or inhibitory actions on PKC may have antimanic effects. The flavonoid quercetin has antioxidant and PKC-inhibiting effects that resemble those of lithium  the first-line treatment for mania in bipolar disorder. We hypothesized that quercetin may have antimanic-like effects in an animal model.MAIN METHODS: In the present study  we investigated the effects of acute and chronic treatment with quercetin (2.5  5  10  and 40mg/kg  i.p.) in male Swiss mice that were subjected to methylphenidate (5mg/kg  i.p.)-induced hyperlocomotion  an animal model of mania. Lithium (100mg/kg  i.p.) and diazepam (5mg/kg  i.p.) were used as positive and negative controls  respectively. We also evaluated the effects of these treatments on methylphenidate-induced oxidative stress in the brain by measuring reduced glutathione (GSH) and lipid peroxidation (LPO) levels in the prefrontal cortex  hippocampus  and striatum.KEY FINDINGS: Acute and chronic (21-day) treatment with lithium and diazepam reduced methylphenidate-induced hyperlocomotion. Chronic but not acute treatment with quercetin (10 and 40mg/kg) blocked methylphenidate-induced hyperlocomotion. These effects of lithium and quercetin occurred at doses that did not alter spontaneous locomotor activity  whereas diazepam reduced spontaneous locomotor activity. Chronic treatment with lithium and quercetin blocked the methylphenidate-induced increase in LPO levels in the striatum.SIGNIFICANCE: These results suggest that chronic quercetin treatment has antimanic-like and antioxidant effects  thus encouraging further studies of quercetin as a putative new antimanic drug."
"3","27844092","Exogenous daytime melatonin modulates response of adolescent mice in a repeated unpredictable stress paradigm.","The immediate and short-term behavioural and physiological implications of exposure to stressful scenarios in the adolescent period are largely unknown; however  increases in occurrence of stress-related physiological and psychological disorders during puberty highlight the need to study substances that may modulate stress reactivity during a crucial stage of maturation. Seven groups of mice (12-15 g each) were administered distilled water (DW) (non-stressed and stressed controls)  sertraline (10 mg/kg)  diazepam (2 mg/kg) or one of three doses of melatonin (5  10 and 15 mg/kg). Mice were exposed to 30 min of chronic mild stress (25 min of cage shaking  cage tilting  handling and 5 min of forced swimming in tepid warm water at 25 °C  in a random order) after administration of DW or drugs  daily for 21 days. Behavioural assessments were conducted on day 1 and day 21 (after which mice were sacrificed  blood taken for estimation of corticosterone levels and brain homogenates used for estimation of antioxidant activities). Administration of melatonin resulted in an increase in horizontal locomotion and self-grooming  while rearing showed a time-dependent increase  compared to non-stress and stress controls. Working memory improved with increasing doses of melatonin (compared to controls and diazepam); in comparison to setraline however  working memory decreased. A dose-related anxiolytic effect is seen when melatonin is compared to non-stressed and stressed controls. Melatonin administration reduced the systemic/oxidant response to repeated stress. Administration of melatonin in repeatedly stressed adolescent mice was associated with improved central excitation  enhancement of working memory  anxiolysis and reduced systemic response to stress."
"4","27792990","Impact of benzodiazepines on brain FDG-PET quantification after single-dose and chronic administration in rats.","INTRODUCTION: Current guidelines for brain PET imaging advice against the injection of diazepam prior to brain FDG-PET examination in order to avoid possible interactions of benzodiazepines with the radiotracer uptake. Nevertheless  many patients undergoing PET studies are likely to be under chronic treatment with benzodiazepines  for example due to the use of different medications such as sleeping pills. Animal studies may provide an extensive and accurate estimation of the effect of benzodiazepines on brain metabolism in a well-defined and controlled framework.AIM: This study aims at evaluating the impact of benzodiazepines on brain FDG uptake after single-dose administration and chronic treatment in rats.METHODS: Twelve Sprague-Dawley healthy rats were randomly divided into two groups  one treated with diazepam and the other used as control group. Both groups underwent PET/CT examinations after single-dose and chronic administration of diazepam (treated) or saline (controls) during twenty-eight days. Different atlas-based quantification methods were used to explore differences on the total uptake and uptake patterns of FDG between both groups.RESULTS: Our analysis revealed a significant reduction of global FDG uptake after acute (-16.2%) and chronic (-23.2%) administration of diazepam. Moreover  a strong trend pointing to differences between acute and chronic administrations (p&lt;0.08) was also observed. Uptake levels returned to normal after interrupting the administration of diazepam. On the other hand  patterns of FDG uptake were not affected by the administration of diazepam.CONCLUSIONS: The administration of diazepam causes a progressive decrease of the FDG global uptake in the rat brain  but it does not change local patterns within the brain. Under these conditions  visual assessment and quantification methods based on regional differences such as asymmetry indexes or SPM statistical analysis would still be valid when administrating this medication."
"5","27642592","Myoinositol Attenuates the Cell Loss and Biochemical Changes Induced by Kainic Acid Status Epilepticus.","Identification of compounds preventing or modifying the biochemical changes that underlie the epileptogenesis process and understanding the mechanism of their action are of great importance. We have previously shown that myoinositol (MI) daily treatment for 28 days prevents certain biochemical changes that are triggered by kainic acid (KA) induced status epilepticus (SE). However in these studies we have not detected any effects of MI on the first day after SE. In the present study we broadened our research and focused on other molecular and morphological changes at the early stages of SE induced by KA and effects of MI treatment on these changes. The increase in the amount of voltage-dependent anionic channel-1 (VDAC-1)  cofilin  and caspase-3 activity was observed in the hippocampus of KA treated rats. Administration of MI 4 hours later after KA treatment abolishes these changes  whereas diazepam treatment by the same time schedule has no significant influence. The number of neuronal cells in CA1 and CA3 subfields of hippocampus is decreased after KA induced SE and MI posttreatment significantly attenuates this reduction. No significant changes are observed in the neocortex. Obtained results indicate that MI posttreatment after KA induced SE could successfully target the biochemical processes involved in apoptosis  reduces cell loss  and can be successfully used in the future for translational research."
"6","27470339","Expression pattern of NMDA receptors reveals antiepileptic potential of apigenin 8-C-glucoside and chlorogenic acid in pilocarpine induced epileptic mice.","The present study was aimed to evaluate the effect of apigenin 8-C-glucoside (Vitexin) and chlorogenic acid on epileptic mice induced by pilocarpine and explored its possible mechanisms. Intraperitonial administration of pilocarpine (85mg/kg) induced seizure in mice was assessed by behavior observations  which is significantly (p&gt;0.05) reduced by apigenin 8-C-glucoside (AP8CG) (10mg/kg) and chlorogenic acid (CA) (5mg/kg)  similar to diazepam. Seizure was accompanied by an imbalance in the levels of Gamma-aminobutyric acid (GABA) and glutamate in the pilocarpine administered group. Moreover  convulsion along with reduced acetylcholinesterase  increased monoamine oxidase and oxidative stress was observed in epileptic mice brain. AP8CG and CA significantly restored back to normal levels even at lower doses. Further  increased lipid peroxidation and nitrite content was also significantly attenuated by AP8CG and CA. However  CA was found to be more effective when compared to AP8CG. In addition  the mRNA expression of N-methyl-d-aspartate receptor (NMDAR)  mGluR1 and mGlu5 was significantly (P=0.05) inhibited by AP8CG and CA in a lower dose. The mRNA expression of GRIK1 did not differ significantly in any of the group and showed a similar pattern of expression. Our result shows that AP8CG and CA selectively inhibit NMDAR  mGluR1 and mGlu5 expression. Modification in the provoked NMDAR calcium response coupled with neuronal death. Hence  these findings underline that the polyphenolics  AP8CG and CA have exerted antiepileptic and neuroprotective activity by suppressing glutamate receptors."
"7","27397490","A review of intranasal formulations for the treatment of seizure emergencies.","Epileptic seizure emergencies are life-threatening conditions  which in their most severe form  status epilepticus  have a high mortality rate if not quickly terminated. Treatment requires rapid delivery of anti-epileptics such as benzodiazepines to the brain. The nasal route is attractive due to its non-invasiveness  potential for direct nose to brain delivery  high vascularity  relatively large absorptive surface area  and avoidance of intestinal/liver metabolism. However  the limited volume of the nasal cavity and poor water solubility of anti-epileptics restrict absorption  leading to insufficient therapeutic brain levels. This review covers various formulation approaches adopted to improve nasal delivery of drugs  especially benzodiazepines  used to treat seizure emergencies. Other general topics such as nasal anatomy  challenges to nasal delivery  and drug/formulation considerations for nose to brain delivery are also discussed."
"8","27316553","Low dose X-irradiation mitigates diazepam induced depression in rat brain.","Depression is considered as one of the most prevalent health ailments. Various anti-depressant drugs have been used to provide succour to this ailment  but with little success and rather have resulted in many side effects. On the other hand  low dose of ionizing radiations are reported to exhibit many beneficial effects on human body by stimulating various biological processes. The present study was conducted to investigate the beneficial effects of low doses of X-rays  if any  during diazepam induced depression in rats. Female Sprague Dawley rats were segregated into four different groups viz: Normal control  Diazepam treated  X-irradiated and Diazepam + X-irradiated. Depression model was created in rats by subjecting them to diazepam treatment at a dosage of 2 mg/kg b.wt./day for 3 weeks. The skulls of animals belonging to X-irradiated and Diazepam + X-irradiated rats were X-irradiated with a single fraction of 0.5 Gy  given twice a day for 3 days  thereby delivered dose of 3 Gy. Diazepam treated animals showed significant alterations in the neurobehavior and neuro-histoarchitecture  which were improved after X-irradiation. Further  diazepam exposure significantly decreased the levels of neurotransmitters and acetylcholinesterase activity  but increased the monoamine oxidase activity in brain. Interestingly  X-rays exposure to diazepam treated rats increased the levels of neurotransmitters  acetylcholinesterase activity and decreased the monoamine oxidase activity. Further  depressed rats also showed increased oxidative stress with altered antioxidant parameters  which were normalized on X-rays exposure. The present study  suggests that low dose of ionizing radiations  shall prove to be an effective intervention and a novel therapy in controlling depression and possibly other brain related disorders."
"9","27111380","Acute Administration of Diazepam Provokes Redox Homeostasis Imbalance in the Rat Brain: Prevention by Simvastatin.","We investigated the effects of acute diazepam (DZP) administration on thiobarbituric acid-reactive substance (TBARS) levels  protein carbonyl content  and on the activities of the antioxidant enzymes catalase  glutathione peroxidase  and superoxide dismutase in the brain of rats. Additionally  we investigated the antioxidant role of chronic pretreatment with simvastatin on the effects provoked by DZP. Simvastatin was administered (1 or 10 mg/kg by oral gavage) for 30 days. On the 30th day of treatment  groups were randomized and DZP was administered (0.5 or 1.0 mg/kg by intraperitoneal injection). Control groups received saline. Results showed that DZP enhanced TBARS levels and protein carbonyl content and altered enzymatic activity in the brain of rats. Simvastatin prevented most of the alterations caused by DZP on the oxidative stress parameters. Data indicate that DZP administration causes an oxidative imbalance in the brain areas studied; however  in the presence of simvastatin  some of these alterations in oxidative stress were prevented."
"10","27031874","Characterization of seizures induced by acute exposure to an organophosphate herbicide, glufosinate-ammonium.","Glufosinate-ammonium (GLA)  the active component of a widely used herbicide  induces convulsions in rodents and humans. In mouse  intraperitoneal treatment with 75<U+2009>mg/kg GLA generates repetitive tonic-clonic seizures associated with 100% mortality within 72<U+2009>h after treatment. In this context  we characterized GLA-induced seizures  their histological consequences and the effectiveness of diazepam treatment. Epileptic discharges on electroencephalographic recordings appeared simultaneously in the hippocampus and the cerebral cortex. Diazepam treatment at 6<U+2009>h immediately stopped the seizures and prevented animal death. However  intermittent seizures were recorded on electroencephalogram from 6<U+2009>h after diazepam treatment until 24<U+2009>h  but had disappeared after 15 days. In our model  neuronal activation (c-Fos immunohistochemistry) was observed 6<U+2009>h after GLA exposure in the dentate gyrus  CA1  CA3  amygdala  piriform and entorhinal cortices  indicating the activation of the limbic system. In these structures  Fluoro-Jade C and Cresyl violet staining did not show neuronal suffering. However  astroglial activation was clearly observed at 24<U+2009>h and 15 days after GLA treatment in the amygdala  piriform and entorhinal cortices by PCR quantitative  western blot and immunohistochemistry. Concomitantly  glutamine synthetase mRNA expression (PCR quantitative)  protein expression (western blot) and enzymatic activity were upregulated. In conclusion  our study suggests that GLA-induced seizures: (a) involved limbic structures and (b) induced astrocytosis without neuronal degeneration as an evidence of a reactive astrocyte beneficial effect for neuronal protection."
